"sample","total.leaf.area"
"VALO_3_AB",1.965
"VALO_3_AC",1.596
"VALO_3_BA",0.61
"VALO_3_BB",0.622
"VALO_3_BC",1.167
"VALO_5_AA",0.866
"VALO_5_AB",0.86
"VALO_5_AC",1.23
"VALO_5_BA",3.51
"VALO_5_BB",1.805
"VALO_5_BC",3.48
"VALO_5_CA",0.556
"VALO_5_CB",1.554
"VALO_5_CC",0.639
"VALO_9_AA",0.684
"VALO_9_AB",1.142
"VALO_9_AC",0.946
"VALO_9_BA",1.044
"VALO_9_BB",1.032
"VALO_9_BC",0.698
"VALO_9_CA",0.747
"VALO_9_CB",0.922
"VALO_9_CC",0.753
"VEAR_10_AA",0.472
"VEAR_10_AB",0.416
"VEAR_10_AC",0.229
"VEAR_11_AA",0.155
"VEAR_11_AB",0.142
"VEAR_11_AC",0.097
"VEAR_12_AA",0.236
"VEAR_12_AB",0.209
"VEAR_12_AC",0.259
"VEAR_13_AA",0.482
"VEAR_13_AB",0.448
"VEAR_13_AC",0.155
"VEAR_15_AA",0.449
"VEAR_15_AB",0.443
"VEAR_15_AC",0.366
"VEAR_3_AA",0.528
"VEAR_3_AB",0.654
"VEAR_3_AC",0.601
"VEAR_4_AA",0.087
"VEAR_4_AB",0.082
"VEAR_4_AC",0.05
"VEAR_7_AA",0.987
"VEAR_7_AB",0.943
"VEAR_7_AC",0.312
"VEAR_9_AA",0.274
"VEAR_9_AB",0.356
"VEAR_9_AC",0.163
"VIHI_1_AA",0.515
"VIHI_1_AB",0.51
"VIHI_1_AC",0.145
"VIHI_10_AA",2.356
"VIHI_10_AB",2.202
"VIHI_10_AC",2.537
"VIHI_11_AA",3.543
"VIHI_13_AA",2.433
"VIHI_13_AB",2.145
"VIHI_13_AC",2.243
"VIHI_13_BA",1.987
"VIHI_13_BB",2.005
"VIHI_13_BC",2.149
"VIHI_3_AA",2.146
"VIHI_3_AB",1.32
"VIHI_3_AC",1.276
"VIHI_5_AA",1.205
"VIHI_5_AB",0.588
"VIHI_5_AC",0.907
"VIHI_7_AA",2.955
"VIHI_7_AB",2.916
"VIHI_7_AC",2.419
"VIHI_7_BA",1.375
"VIHI_9_AA",2.416
"VIHI_9_AB",1.79
"VIHI_9_AC",2.381
"VIHI_9_BA",3.673
"VIHI_9_BB",3.313
"VIHI_9_BC",3.671
"VISA_1_AA",1.135
"VISA_1_AB",0.957
"VISA_1_AC",0.696
"VISA_10_AA",4.167
"VISA_10_AB",3.21
"VISA_10_AC",3.293
"VISA_13_AA",1.101
"VISA_13_AB",1.616
"VISA_13_AC",1.749
"VISA_13_BA",3.083
"VISA_13_BB",3.29
"VISA_13_BC",2.062
"VISA_15_AA",1.772
"VISA_3_AA",2.207
"VISA_3_AB",3.3
"VISA_3_AC",2.157
"VISA_4_AA",1.073
"VISA_5_AA",1.833
"VISA_5_AB",2.965
"VISA_5_AC",3.074
"VISA_6_AA",3.322
"VISA_6_AB",2.615
"VISA_6_AC",2.749
"VISA_7_AA",1.499
"VISA_7_AB",2.425
"VISA_7_AC",2.081
"VISA_9_AA",1.799
"VISA_9_AB",1.798
"VISA_9_AC",1.703
"VISA_9_BA",1.826
"VISA_9_BB",1.921
"VUSP_12_AA",0.629
"VUSP_13_AA",1.01
"VUSP_13_AB",1.585
"VUSP_13_BA",1.248
"VUSP_13_BB",0.964
"VUSP_2_AA",0.51
"VUSP_2_AB",0.528
"VUSP_2_AC",0.547
"VUSP_2_BA",0.21
"VUSP_2_CA",0.31
"VUSP_2_CB",0.325
"VUSP_2_CC",0.171
"VUSP_2_CD",0.051
"VUSP_5_AA",1.351
"VUSP_5_AB",1.808
"VUSP_5_AC",1.099
"VUSP_5_AD",0.265
"VUSP_6_AA",0.19
"VUSP_6_AB",0.333
"VUSP_6_AC",0.242
"VUSP_6_AD",1.211
"VUSP_6_BA",0.663
"VUSP_6_BB",0.64
"VUSP_6_BC",0.944
"VUSP_6_BD",0.485
"VUSP_6_BE",0.693
"VUSP_7_AA",0.274
"VUSP_7_BA",0.965
"VUSP_7_CA",0.883
"VUSP_7_CB",0.375
"VUSP_7_CC",0.737
"VUSP_7_CD",0.546
